fluid,count,mean_weight_percent,min_weight_percent,max_weight_percent
R1224YDZ,8,4.0,2.0,8.0
R123,25,31.44,2.0,60.0
R1233ZDE,21,5.904761904761905,2.0,22.0
R1234ZEZ,20,4.1,2.0,10.0
R1336MZZZ,14,4.571428571428571,2.0,10.0
R141B,27,51.77777777777778,2.0,90.0
R142B,21,37.42857142857143,2.0,90.0
R21,30,39.0,2.0,88.0
R245CA,32,5.25,2.0,22.0
R245FA,21,4.190476190476191,2.0,10.0
R365MFC,8,4.25,2.0,8.0
RE245FA2,12,5.333333333333333,2.0,12.0
RE347MCCHFE7000,1,4.0,4.0,4.0
