archive_type,canonical_key,found_in_runs,found_in_seeds,duplicate_count,run_id,master_seed,derived_seed,fluids,fractions,COP,VHC,W_comp,pareto_rank,crowding_distance
empirical_master_pareto_front,"[[""R1234ZEZ"", 3], [""R142B"", 5], [""R21"", 36], [""R245CA"", 2], [""R245FA"", 4]]",40,3840731549,1,40,123456789,3840731549,R1234ZEZ&R142B&R21&R245CA&R245FA,0.060000;0.100000;0.720000;0.040000;0.080000,5.05101387649,6312261.16656,98990.0269977,0,0.09152326288
empirical_master_pareto_front,"[[""R1224YDZ"", 1], [""R1233ZDE"", 1], [""R1234ZEZ"", 2], [""R142B"", 22], [""R21"", 24]]",41,911466434,1,41,123456789,911466434,R1224YDZ&R1233ZDE&R1234ZEZ&R142B&R21,0.020000;0.020000;0.040000;0.440000;0.480000,4.79431369871,6832105.01746,104290.213662,0,inf
empirical_master_pareto_front,"[[""R1233ZDE"", 2], [""R1234ZEZ"", 1], [""R142B"", 40], [""R21"", 6], [""RE245FA2"", 1]]",44,401640570,1,44,123456789,401640570,R1233ZDE&R1234ZEZ&R142B&R21&RE245FA2,0.040000;0.020000;0.800000;0.120000;0.020000,4.54642164846,7163421.13161,109976.601086,0,inf
empirical_master_pareto_front,"[[""R123"", 29], [""R1233ZDE"", 1], [""R141B"", 13], [""R21"", 1], [""RE245FA2"", 6]]",46,1356244671,1,46,123456789,1356244671,R123&R1233ZDE&R141B&R21&RE245FA2,0.580000;0.020000;0.260000;0.020000;0.120000,5.22757430286,3748134.66409,95646.6557971,0,0.227991566538
empirical_master_pareto_front,"[[""R123"", 3], [""R1233ZDE"", 1], [""R1336MZZZ"", 2], [""R141B"", 41], [""R245CA"", 3]]",48,3490933753,1,48,123456789,3490933753,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.060000;0.020000;0.040000;0.820000;0.060000,5.37189990507,3462185.32081,93076.9390412,0,inf
empirical_master_pareto_front,"[[""R123"", 5], [""R1233ZDE"", 3], [""R1336MZZZ"", 3], [""R141B"", 36], [""R245CA"", 3]]",48,3490933753,1,48,123456789,3490933753,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.100000;0.060000;0.060000;0.720000;0.060000,5.31859662528,3530964.96241,94009.7614516,0,0.0526473425746
empirical_master_pareto_front,"[[""R123"", 5], [""R1233ZDE"", 1], [""R1336MZZZ"", 3], [""R141B"", 38], [""R245CA"", 3]]",48,3490933753,1,48,123456789,3490933753,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.100000;0.020000;0.060000;0.760000;0.060000,5.35097243517,3488560.87047,93440.9597616,0,0.101663932224
empirical_master_pareto_front,"[[""R123"", 18], [""R141B"", 26], [""R245CA"", 2], [""R365MFC"", 3], [""RE245FA2"", 1]]",53,3822925001,1,53,123456789,3822925001,R123&R141B&R245CA&R365MFC&RE245FA2,0.360000;0.520000;0.040000;0.060000;0.020000,5.31626131456,3567337.00156,94051.0577669,0,inf
empirical_master_pareto_front,"[[""R123"", 17], [""R141B"", 24], [""R245CA"", 3], [""R365MFC"", 4], [""RE245FA2"", 2]]",53,3822925001,1,53,123456789,3822925001,R123&R141B&R245CA&R365MFC&RE245FA2,0.340000;0.480000;0.060000;0.080000;0.040000,5.29195069525,3585928.14251,94483.1176241,0,0.106846275815
empirical_master_pareto_front,"[[""R123"", 1], [""R1234ZEZ"", 1], [""R21"", 43], [""R245CA"", 2], [""RE245FA2"", 3]]",58,39426911,1,58,123456789,39426911,R123&R1234ZEZ&R21&R245CA&RE245FA2,0.020000;0.020000;0.860000;0.040000;0.060000,5.18059148638,5950249.32939,96514.0759149,0,0.919996428768
empirical_master_pareto_front,"[[""R1233ZDE"", 2], [""R1234ZEZ"", 1], [""R142B"", 7], [""R21"", 39], [""R245FA"", 1]]",61,3619889181,1,61,123456789,3619889181,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.040000;0.020000;0.140000;0.780000;0.020000,5.0416724177,6369592.82845,99173.4405917,0,0.684695728955
empirical_master_pareto_front,"[[""R1224YDZ"", 4], [""R1234ZEZ"", 1], [""R142B"", 12], [""R21"", 32], [""R245FA"", 1]]",65,370657762,1,65,123456789,370657762,R1224YDZ&R1234ZEZ&R142B&R21&R245FA,0.080000;0.020000;0.240000;0.640000;0.020000,4.93210863986,6475095.5493,101376.517938,0,0.3734780949
empirical_master_pareto_front,"[[""R123"", 26], [""R1233ZDE"", 8], [""R141B"", 12], [""R21"", 1], [""R365MFC"", 3]]",71,689946305,1,71,123456789,689946305,R123&R1233ZDE&R141B&R21&R365MFC,0.520000;0.160000;0.240000;0.020000;0.060000,5.20149827359,3796257.14269,96126.149371,0,0.110140023659
empirical_master_pareto_front,"[[""R123"", 12], [""R1233ZDE"", 11], [""R1336MZZZ"", 1], [""R141B"", 25], [""R365MFC"", 1]]",82,1305161129,1,82,123456789,1305161129,R123&R1233ZDE&R1336MZZZ&R141B&R365MFC,0.240000;0.220000;0.020000;0.500000;0.020000,5.23131603047,3713011.28638,95578.2439997,0,0.179868245402
empirical_master_pareto_front,"[[""R123"", 2], [""R1233ZDE"", 3], [""R1336MZZZ"", 1], [""R141B"", 43], [""R21"", 1]]",84,2018573603,1,84,123456789,2018573603,R123&R1233ZDE&R1336MZZZ&R141B&R21,0.040000;0.060000;0.020000;0.860000;0.020000,5.35123180858,3481954.71597,93436.4306921,0,inf
empirical_master_pareto_front,"[[""R1336MZZZ"", 1], [""R141B"", 40], [""R245CA"", 6], [""R245FA"", 1], [""RE245FA2"", 2]]",88,3141524120,1,88,123456789,3141524120,R1336MZZZ&R141B&R245CA&R245FA&RE245FA2,0.020000;0.800000;0.120000;0.020000;0.040000,5.35695552855,3475810.68235,93336.5971278,0,inf
empirical_master_pareto_front,"[[""R123"", 2], [""R1233ZDE"", 2], [""R1336MZZZ"", 2], [""R141B"", 33], [""R245CA"", 11]]",95,3442302493,1,95,123456789,3442302493,R123&R1233ZDE&R1336MZZZ&R141B&R245CA,0.040000;0.040000;0.040000;0.660000;0.220000,5.28839353757,3586596.16933,94546.6702596,0,0.0380843559211
empirical_master_pareto_front,"[[""R123"", 12], [""R1336MZZZ"", 2], [""R141B"", 31], [""R245CA"", 4], [""R245FA"", 1]]",98,3565354429,1,98,123456789,3565354429,R123&R1336MZZZ&R141B&R245CA&R245FA,0.240000;0.040000;0.620000;0.080000;0.020000,5.30107929438,3575972.38913,94320.4151898,0,inf
